COMMAND     PID USER   FD      TYPE             DEVICE SIZE/OFF   NODE NAME
tuic-serv 11653 root   59u     IPv4             226791      0t0    TCP jp-n01.internal.cloudapp.net:45230->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   60u     IPv4             229756      0t0    TCP jp-n01.internal.cloudapp.net:35532->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   61u     IPv4             225332      0t0    TCP jp-n01.internal.cloudapp.net:57864->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   62u     IPv4             227687      0t0    TCP jp-n01.internal.cloudapp.net:37170->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   63u     IPv4             225645      0t0    TCP jp-n01.internal.cloudapp.net:45558->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   64u     IPv4             225689      0t0    TCP jp-n01.internal.cloudapp.net:44718->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   65u     IPv4             228906      0t0    TCP jp-n01.internal.cloudapp.net:54666->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   66u     IPv4             239388      0t0    TCP jp-n01.internal.cloudapp.net:56748->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   67u     IPv4             235754      0t0    TCP jp-n01.internal.cloudapp.net:33414->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   68u     IPv4             233803      0t0    TCP jp-n01.internal.cloudapp.net:33968->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   69u     IPv4             230747      0t0    TCP jp-n01.internal.cloudapp.net:34208->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   70u     IPv4             227829      0t0    TCP jp-n01.internal.cloudapp.net:57984->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   71u     IPv4             227034      0t0    TCP jp-n01.internal.cloudapp.net:50408->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   72u     IPv4             227721      0t0    TCP jp-n01.internal.cloudapp.net:40312->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   73u     IPv4             229825      0t0    TCP jp-n01.internal.cloudapp.net:36116->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   74u     IPv4             228557      0t0    TCP jp-n01.internal.cloudapp.net:33142->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   75u     IPv4             228675      0t0    TCP jp-n01.internal.cloudapp.net:40816->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   76u     IPv4             228955      0t0    TCP jp-n01.internal.cloudapp.net:56540->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   77u     IPv4             230353      0t0    TCP jp-n01.internal.cloudapp.net:46754->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   78u     IPv4             230030      0t0    TCP jp-n01.internal.cloudapp.net:55264->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   79u     IPv4             229516      0t0    TCP jp-n01.internal.cloudapp.net:51358->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   80u     IPv4             237415      0t0    TCP jp-n01.internal.cloudapp.net:42976->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   81u     IPv4             230098      0t0    TCP jp-n01.internal.cloudapp.net:60744->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   82u     IPv4             231662      0t0    TCP jp-n01.internal.cloudapp.net:56490->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   83u     IPv4             232030      0t0    TCP jp-n01.internal.cloudapp.net:47468->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   84u     IPv4             230373      0t0    TCP jp-n01.internal.cloudapp.net:44484->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   85u     IPv4             241789      0t0    TCP jp-n01.internal.cloudapp.net:56664->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   86u     IPv4             231618      0t0    TCP jp-n01.internal.cloudapp.net:52666->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   87u     IPv4             230452      0t0    TCP jp-n01.internal.cloudapp.net:56468->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   88u     IPv4             230484      0t0    TCP jp-n01.internal.cloudapp.net:48502->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   89u     IPv4             231727      0t0    TCP jp-n01.internal.cloudapp.net:58082->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   90u     IPv4             232037      0t0    TCP jp-n01.internal.cloudapp.net:51874->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   91u     IPv4             239486      0t0    TCP jp-n01.internal.cloudapp.net:36642->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
